W,T,R
0.9,0.9715571,0.0284409
0.901,0.9716461,0.0283517
0.902,0.9717318,0.0282659
0.903,0.9717751,0.028222800000000003
0.904,0.9717371,0.0282607
0.905,0.9715965,0.028401299999999997
0.906,0.9713608,0.0286365
0.907,0.9710697,0.0289277
0.908,0.9707835,0.0292143
0.909,0.9705705,0.0294273
0.91,0.9704821,0.029516399999999998
0.911,0.9705338,0.0294638
0.912,0.9707029,0.0292955
0.913,0.9709245,0.029073699999999997
0.914,0.9711204999999999,0.028877700000000003
0.915,0.9712189999999999,0.0287799
0.916,0.9711794,0.028818899999999998
0.917,0.9710076,0.0289906
0.918,0.9707541999999999,0.0292442
0.919,0.9704935,0.029504899999999997
0.92,0.9703029999999999,0.029695100000000002
0.921,0.9702356000000001,0.029762200000000003
0.922,0.9703022,0.0296959
0.923,0.9704617,0.029537
0.924,0.9706406,0.029357099999999997
0.925,0.9707664,0.029232300000000003
0.926,0.970785,0.029212600000000002
0.927,0.9706923999999999,0.0293057
0.928,0.9705209,0.0294767
0.929,0.9703327,0.029665
0.93,0.9701936999999999,0.0298041
0.931,0.970136,0.0298616
0.932,0.9701458,0.0298518
0.933,0.970163,0.0298351
0.934,0.9701105,0.029887800000000003
0.935,0.9699436,0.0300543
0.936,0.9697066,0.0302915
0.937,0.9695274,0.0304705
0.938,0.969372,0.030626
0.939,0.9681815,0.0318163
0.94,0.9638422,0.0361555
0.941,0.9553400000000001,0.044657999999999996
0.942,0.9433512000000001,0.0566468
0.943,0.9278652,0.0721326
0.944,0.9089856000000001,0.09101229999999999
0.945,0.8873999,0.1125982
0.946,0.8621644,0.1378335
0.947,0.8323357,0.1676621
0.948,0.7995908,0.2004076
0.949,0.7652222999999999,0.2347756
0.95,0.7270214,0.27297689999999997
0.951,0.6852108,0.3147877
0.952,0.6438200999999999,0.3561776
0.953,0.601777,0.398221
0.954,0.5562167,0.4437815
0.955,0.5102709999999999,0.48972720000000003
0.956,0.46578539999999996,0.5342125999999999
0.957,0.42073,0.5792683000000001
0.958,0.37525260000000005,0.6247454
0.959,0.33098750000000005,0.6690111000000001
0.96,0.28816400000000003,0.7118340999999999
0.961,0.2465969,0.7534013
0.962,0.2070514,0.7929472
0.963,0.1702965,0.8297022
0.964,0.1373171,0.8626814
0.965,0.1087997,0.8911984
0.966,0.0852777,0.9147208
0.967,0.0665772,0.9334215
0.968,0.0520765,0.9479223
0.969,0.041094799999999994,0.9589042999999999
0.97,0.0329373,0.9670613
0.971,0.026912,0.9730864
0.972,0.0224096,0.9775889999999999
0.973,0.0189514,0.9810471
0.974,0.016241099999999998,0.9837579
0.975,0.014039699999999999,0.9859593
0.976,0.0122026,0.9877961999999999
0.977,0.010634699999999999,0.9893642
0.978,0.0092771,0.9907218
0.979,0.0080965,0.9919026
0.98,0.0070791000000000005,0.9929192
0.981,0.0062280999999999994,0.993771
0.982,0.005563,0.9944355
0.983,0.0051195,0.9948786
0.984,0.0049439,0.9950549
0.985,0.0050653,0.9949334000000001
0.986,0.0054442,0.9945541
0.987,0.005971,0.9940273000000001
0.988,0.0065437,0.9934549
0.989,0.0071101,0.9928886
0.99,0.007631099999999999,0.9923677000000001
0.991,0.0081085,0.9918895000000001
0.992,0.0085941,0.9914042000000001
0.993,0.009054,0.9909446
0.994,0.0094362,0.9905619
0.995,0.0098226,0.9901759
0.996,0.0102919,0.9897056999999999
0.997,0.0107376,0.9892601000000001
0.998,0.011158099999999999,0.9888393999999999
0.999,0.0117412,0.9882564
1.0,0.012414000000000001,0.9875841
1.001,0.0129588,0.9870386000000001
1.002,0.0134477,0.9865495
1.003,0.0138852,0.9861127000000001
1.004,0.014130700000000001,0.9858669999999999
1.005,0.014277100000000001,0.9857195
1.006,0.0143255,0.9856715
1.007,0.0142004,0.9857975
1.008,0.0140042,0.9859927
1.009,0.013696600000000001,0.9863007
1.01,0.0132798,0.9867172
1.011,0.012787,0.9872111
1.012,0.0122726,0.9877254000000001
1.013,0.0118072,0.9881898
1.014,0.011531199999999998,0.9884667
1.015,0.0114478,0.98855
1.016,0.0114089,0.9885886
1.017,0.0114614,0.988536
1.018,0.0115695,0.988428
1.019,0.0116276,0.9883706999999999
1.02,0.011580299999999998,0.988417
1.021,0.011459500000000001,0.9885382
1.022,0.0112629,0.9887348
1.023,0.010962099999999999,0.9890351
1.024,0.0105593,0.9894385
1.025,0.0100953,0.9899028
1.026,0.0096369,0.990361
1.027,0.009217300000000001,0.9907803
1.028,0.0088447,0.9911532
1.029,0.0085868,0.9914108
1.03,0.0084549,0.9915428
1.031,0.0083696,0.9916279
1.032,0.0083334,0.991664
1.033,0.0083644,0.9916332
1.034,0.0084555,0.9915428
1.035,0.0085421,0.9914561999999999
1.036,0.0085824,0.9914154000000001
